Question,Question,Answer
456,What is the Japanese snack made from dried seaweed and seasoned rice?,Onigiri
457,Which country is known for the Machu Picchu archaeological site?,Peru
458,"Which Canadian singer-songwriter is known for the hit single ""Hallelujah""?",Leonard Cohen
459,What is the main ingredient in a croissant?,Butter
460,Calculate 6 ÷ 2(1 + 2),9
461,What movie follows the story of a young girl who befriends a giant friendly robot?,Big Hero 6
462,Which famous scientist developed the theory of relativity?,Albert Einstein
463,What TV show features a serial killer who works as a blood-spatter analyst during the day?,Dexter
464,Who holds the record for the most career goals in soccer?,Cristiano Ronaldo
465,What is the main ingredient in a margarita cocktail?,Tequila
466,What is the largest species of bear?,Polar Bear
467,Which game series allows players to explore a post-apocalyptic wasteland?,Fallout
468,"Who is the host of the TV talk show ""The Ellen DeGeneres Show""?",Ellen DeGeneres
469,"Who is considered the ""Father of Genetics""?",Gregor Mendel
470,"In which game can players perform a ""Fatality"" to finish their opponent?",Mortal Kombat
471,What is the Korean dish made with seasoned vegetables and rice?,Bibimbap
472,"What is the name of the iconic character in the game ""Super Mario Bros.""?",Mario
473,In which sport does a player score a touchdown?,American football
474,Which company became the world's most valuable publicly traded company in 2022?,Apple
475,Which TV show features the character Walter White?,Breaking Bad
476,What is the popular Japanese dish of battered and deep-fried seafood or vegetables?,Tempura
477,"Who says, ""The greatest wealth is to live content with little""?",Plato
478,"What is the Italian pasta dish made with long, thin noodles and tomato sauce?",Spaghetti
479,What is the national bird of India?,Indian Peacock
480,"Who said, ""I can't change the direction of the wind, but I can adjust my sails to always reach my destination""?",Jimmy Dean
481,"Which actor played the character Neo in the film ""The Matrix""?",Keanu Reeves
482,Calculate: 3 x 3 + 3 ÷ 3 - 3,8
483,"Who said, ""In three words I can sum up everything I've learned about life: it goes on""?",Robert Frost
484,What is the unit of electric charge?,Coulomb
485,"Who is the main antagonist in the ""Harry Potter"" series?",Lord Voldemort
486,"What is the title of the theme song for the film ""Titanic""?","""My Heart Will Go On"""
487,"What is the popular Thai stir-fried noodle dish with shrimp, tofu, bean sprouts, and peanuts?",Pad Thai
488,Which province is known for its vast wilderness and polar bear population?,Manitoba
489,What is the name of the lead singer of the band Bon Jovi?,Jon Bon Jovi
490,What is the largest lake by surface area located entirely in the United States?,Lake Superior
491,"What is the name of the American singer-songwriter who released the album ""Red""?",Taylor Swift
492,What TV show follows the lives of six friends living in New York City?,Friends
493,"What is the name of the American singer who released the album ""Thriller"" in 1982?",Michael Jackson
494,Who is the lead vocalist of the band Red Hot Chili Peppers?,Anthony Kiedis
495,"Who is the main antagonist in the ""Star Wars"" franchise?",Darth Vader
496,"What is the name of the American singer who released the album ""Blackstar""?",David Bowie
497,"Who painted the famous artwork ""The Scream""?",Edvard Munch
498,"Who is the author of ""The Hobbit""?",J.R.R. Tolkien
499,Who was the President of the United States during the Great Depression and World War II?,Franklin D. Roosevelt
500,What is the largest species of snake?,Green Anaconda
501,What is the most widely consumed beverage in the world after water?,Coffee
502,What movie features a superhero who can shrink in size but increase in strength?,Ant-Man
503,"What is the name of the English singer-songwriter who released the album ""÷""?",Ed Sheeran
504,"What is the Spanish omelette made with eggs, potatoes, and onions?",Tortilla de patatas
505,In which sport would you use a sand wedge?,Golf
506,Which TV show is set in the fictional town of Pawnee?,Parks and Recreation
507,What is the capital city of Germany?,Berlin
508,"Which singer released the album ""Lemonade"" in 2016?",Beyoncé
509,Who was the first Secretary of the Treasury of the United States?,Alexander Hamilton
510,What movie is set in a dinosaur theme park where the attractions break free?,Jurassic Park
511,What is the name of the main character in the game The Witcher 3: Wild Hunt?,Geralt of Rivia
512,"Which actor portrayed James Bond in the film ""Casino Royale""?",Daniel Craig
513,Which film franchise features the characters Bella Swan and Edward Cullen?,Twilight
514,Calculate 10 - 5 + 2,7
515,"Who said, ""Two things are infinite: the universe and human stupidity.""",Albert Einstein
516,"Who is the lead singer of the band ""Queen""?",Freddie Mercury
517,"Which British band is known for the song ""Wonderwall""?",Oasis
518,"Who says, ""The only person you should try to be better than is the person you were yesterday""?",Matty Mullins
519,In which game can players control a character named Samus Aran?,Metroid
520,Which U.S. state is home to the Statue of Liberty?,New Jersey
521,"What is the sweet, flaky pastry often filled with fruit or custard?",Danish
522,Which actor portrayed Spider-Man in the Marvel Cinematic Universe?,Tom Holland
523,What is the classic Italian cheese made from buffalo milk and often used in dishes such as pizza and pasta?,Mozzarella
524,Which game franchise features a character named Sonic the Hedgehog?,SEGA
525,"Which Canadian city is known as the ""Gateway to the West""?",Winnipeg
526,Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart
527,Which creature is often associated with the Amazon rainforest?,Jaguar
528,What is the title of the debut single by Madonna released in 1982?,"""Everybody"""
529,What is the distance of a marathon in kilometers?,42.195 kilometers
530,What is the Vietnamese noodle soup made with beef or chicken and flavorful broth?,Pho
531,What is the process of converting a liquid into a solid called?,Freezing
532,What is the diameter of a basketball hoop in inches?,18 inches
533,What is the maximum number of players allowed on a basketball court per team?,5
534,"Who said, ""The only thing we have to fear is fear itself""?",Franklin D. Roosevelt
535,What TV show follows the lives of the employees working at Dunder Mifflin Paper Company?,The Office
536,Which animal is known for its ability to swim against the current?,Salmon
537,What is the branch of science that deals with the study of living organisms?,Biology
538,"Which actor played the character Joker in ""The Dark Knight""?",Heath Ledger
539,"Which U.S. state is known as the ""Golden State""?",California
540,What is the study of the Earth's physical and cultural features called?,Geography
541,What is the French pastry made from choux dough filled with cream or custard?,Profiterole
542,How many sides does a heptagon have?,7
543,What is the study of the structure and function of cells called?,Cell Biology
544,How many sides does a triangle have?,3
545,"What is the process of roasting coffee beans to a medium-brown color, resulting in a balanced flavor?",Medium roast
546,"What is the classic French soup made with onions and beef broth, topped with cheese and toasted bread?",French Onion Soup
547,"Which game series allows players to pilot giant mechs known as ""Titans""?",Titanfall
548,"Who won the Best Actor Oscar for his role in ""The Revenant""?",Leonardo DiCaprio
549,Which Canadian city is known for its annual Winter Carnival and Bonhomme mascot?,Quebec City
550,"Who won the Academy Award for Best Actress for her role in ""La La Land""?",Emma Stone
551,In which city were the first modern Olympic Games held in 1896?,"Athens, Greece"
552,Who is credited with the invention of the light bulb?,Thomas Edison
553,Who is the lead vocalist of the band Imagine Dragons?,Dan Reynolds
554,Who invented the steam engine?,James Watt
555,"Who played the character Tony Stark in the ""Iron Man"" films?",Robert Downey Jr.
556,"Which American rapper is known for the hit single ""Thrift Shop""?",Macklemore
557,Who is the fastest man in the world?,Usain Bolt
558,Which fruit is used to make guava juice?,Guava
559,"Which actress portrayed Hermione Granger in the ""Harry Potter"" films?",Emma Watson
560,Who painted the Mona Lisa?,Leonardo da Vinci
561,Which U.S. city is famous for its historical role in the American Revolution and the Freedom Trail?,Boston
562,What is the largest state by land area in the United States?,Alaska
563,What is the Greek yogurt and cucumber dip often served with pita bread?,Tzatziki
564,"Who is known for the catchphrase, ""May the Force be with you""?",Obi-Wan Kenobi (Star Wars)
565,"Which Canadian city is known for its annual Calgary Stampede, a famous rodeo and festival?",Calgary
566,"What is the sweet, frozen treat made from fruit puree and sugar?",Sorbet
567,What is the study of the Earth's oceans called?,Oceanography
568,"Who is the creator of the sculpture ""David""?",Michelangelo
569,How many continents are there in the world?,7
570,Which TV show features the character Ross Geller?,Friends
571,"What is the name of the American singer who released the album ""Teenage Dream""?",Katy Perry
572,Which TV show revolves around a talented but self-destructive surgeon?,Grey's Anatomy
573,What movie follows the life of a mentally troubled mathematical genius?,A Beautiful Mind
574,In which game do players control a character named Joel with his partner Ellie?,The Last of Us
575,Which animal is known for its ability to regrow its tail?,Lizard
576,In what TV show does a chemistry genius turn his life around by becoming a lawyer?,Better Call Saul
577,Which U.S. city is famous for its Broadway shows and Times Square?,New York City
578,What is the primary function of the small intestine?,Absorption
579,What is the name of the main character in the game Half-Life?,Gordon Freeman
580,Who is the lead guitarist of the band Queen?,Brian May
581,Who won the 2021 Wimbledon Men's Singles title?,Novak Djokovic
582,How many sides does a pentagon have?,5
583,What is the primary function of the kidneys?,Filtration
584,Which classic novel by Jane Austen features the character Mr. Darcy?,Pride and Prejudice
585,What is the Italian term for a shot of espresso?,Caffè (short for Caffè Espresso)
586,"What is the name of the American singer who released the album ""Unapologetic"" in 2012?",Rihanna
587,What is the classic British dish consisting of sausages wrapped in bacon and baked or grilled?,Pigs in a Blanket
588,"Which band released the album ""Abbey Road""?",The Beatles
589,"Who was the Civil Rights activist known for his ""I Have a Dream"" speech?",Martin Luther King Jr.
590,What is the largest desert in the world?,Sahara Desert
591,Which sport is played with a small white ball and mallets?,Croquet
592,"What is the Italian pasta dish with a creamy sauce made from eggs, cheese, and bacon or pancetta?",Carbonara
593,How many players are there on a baseball team?,Nine
594,"Who said, ""Be the change you wish to see in the world.""",Mahatma Gandhi
595,What is the title of Michael Jackson's sixth studio album?,"""Thriller"""
596,What is the world's largest living species of fish?,Whale Shark
597,"What is the name of the Canadian singer who released the album ""Scorpion""?",Drake
598,Who is the most decorated Olympian of all time?,Michael Phelps
599,"Which band released the hit song ""Hey Jude""?",The Beatles
600,"Which famous document begins with the words ""We the People""?",The U.S. Constitution
601,In which game do players control a character named John Marston?,Red Dead Redemption
602,"Who is the author of ""The Catcher in the Rye""?",J.D. Salinger
603,Who is the Norse god of thunder?,Thor
604,What is the popular American fast food made from ground beef patty and bun?,Hamburger
605,What is the title of the debut studio album by Michael Jackson released in 1979?,"""Off the Wall"""
606,"Which American rock band is known for the song ""Sweet Home Alabama""?",Lynyrd Skynyrd
607,"What is the traditional Mexican grilled corn on the cob, typically topped with cheese, chili powder, and lime?",Elote
608,What is the unit of frequency?,Hertz
609,Which U.S. state is home to the Grand Canyon?,Arizona
610,"What is the name of the American singer-songwriter who released the album ""Reputation""?",Taylor Swift
611,What movie is about a fish who dreams of becoming a professional swimmer?,The Little Mermaid
612,In which game can players control a character named Max Caulfield?,Life is Strange
613,Which country launched the James Webb Space Telescope?,United States
614,What is the fermented tea beverage that originated in China?,Kombucha
615,"Who played the character Edward Cullen in the ""Twilight"" film series?",Robert Pattinson
616,"Which American rapper is known for the hit single ""Empire State of Mind""?",Jay-Z
617,"Who said, ""The future belongs to those who believe in the beauty of their dreams.""",Eleanor Roosevelt
618,In which city are the headquarters of the International Olympic Committee?,"Lausanne, Switzerland"
619,Which bird is known for its long neck and legs?,Flamingo
620,"Which Canadian province is known for its stunning national parks, including Banff and Jasper?",Alberta
621,Which country hosted the 2022 FIFA World Cup?,Qatar
622,What is the national animal of Scotland?,Unicorn
623,In what movie does a retired spy come out of retirement to save his kidnapped daughter?,Taken
624,What is the largest mammal on Earth?,Blue whale
625,"Which sport is associated with the term ""knockout""?",Boxing
626,Which creature is known for its ability to walk on water?,Jesus Christ Lizard
627,What is the unit of power?,Watt
628,What is the title of Harper Lee's only published novel?,To Kill a Mockingbird
629,What is the national animal of China?,Giant Panda
630,"What is the traditional Thai curry made from green chili peppers, coconut milk, and various spices?",Green Curry
631,Who invented the World Wide Web?,Tim Berners-Lee
632,Which company recently became the first to reach a market valuation of $3 trillion?,Microsoft
633,"Who is the creator of the animated TV series ""The Simpsons""?",Matt Groening
634,"Which creature is often called the ""ship of the desert""?",Camel
635,What is the traditional British dish of sausages wrapped in bacon and served with mashed potatoes and gravy?,Toad in the hole
636,"Who is the main character in ""The Hunger Games"" trilogy?",Katniss Everdeen
637,What is the largest species of living reptile?,Saltwater Crocodile
638,"Who is the author of the ""Harry Potter"" book series?",J.K. Rowling
639,"Which American singer is known for the hit song ""Uptown Funk""?",Bruno Mars
640,"What is the popular Mexican condiment made from mashed avocados, onions, tomatoes, lime juice, and seasonings?",Guacamole
641,"Who is the author of ""The Lord of the Rings"" trilogy?",J.R.R. Tolkien
642,How many time zones are there in the world?,24
643,What is the capital city of France?,Paris
644,What is the traditional Korean side dish made from fermented soybeans?,Doenjang
645,Which creature other than spiders are known for its ability to produce venom?,Snake
646,Which sport uses a cue stick and balls on a table?,Pool
647,"Which band released the album ""Sgt. Pepper's Lonely Hearts Club Band""?",The Beatles
648,What is the largest species of deer?,Moose
649,"What is the popular Italian bread with a long, thin shape and crispy crust?",Baguette
650,"What is the traditional Spanish cured ham, typically sliced thin and served as tapas?",Jamón
651,"What is the objective of the game ""Fortnite""?",Be the last person standing
652,Which country recently signed a peace agreement with Sudan?,Israel
653,"Which U.S. state is known as the ""Sunshine State""?",Florida
654,Which U.S. city is known for its space industry and NASA's Kennedy Space Center?,Cape Canaveral
655,"Who played the character Jon Snow in the TV series ""Game of Thrones""?",Kit Harington
656,Which country is known as the birthplace of coffee?,Ethiopia
657,"What is the classic American sandwich made with corned beef, Swiss cheese, sauerkraut, and Russian dressing?",Reuben
658,What is the largest island of Hawaii?,Hawaii
659,Who is credited with the invention of the computer?,Charles Babbage
660,How many sides does a decagon have?,10
661,"What is the name of the British rock band known for the song ""Smoke on the Water""?",Deep Purple
662,What is the largest species of bee?,Carpenter Bee
663,"Which fruit is known as ""The King of Fruits""?",Durian
664,How many legs does a spider have?,8
665,What is the muscular organ that pumps blood throughout the body?,Heart
666,What is the branch of physics that deals with motion and forces?,Mechanics
667,"Who won the Academy Award for Best Director for the film ""La La Land""?",Damien Chazelle
668,Which U.S. state is known for its famous jazz music and Mardi Gras celebrations?,Louisiana
669,"What is the objective of the game ""Minecraft""?",Build and survive
670,Which TV show is set in the fictional town of Hawkins?,Stranger Things
671,What is the process by which plants convert sunlight into energy?,Photosynthesis
672,Calculate: 10 ÷ 2 + 5,10
673,In which country is the Taj Mahal located?,India
674,In which game can players capture and train creatures?,Pokémon
675,What is the capital city of Brazil?,Brasília
676,"What is the traditional Spanish cold soup made from blended vegetables, often including tomatoes?",Gazpacho
677,Which game franchise is known for its massive multiplayer online role-playing games (MMORPGs)?,Final Fantasy
678,Who won the Super Bowl in 2020?,Kansas City Chiefs
679,Who won the 2021 Nobel Prize in Literature?,Abdulrazak Gurnah
680,"Which American singer is known for the hit single ""I Will Always Love You""?",Whitney Houston
681,Which country is home to the Great Barrier Reef?,Australia
682,Who was the President of the United States during the Watergate scandal?,Richard Nixon
683,Which U.S. state is known for its stunning national parks like Yellowstone and Glacier?,Montana
684,What is the chemical symbol for sodium?,"Na, Sodium"
685,What is the unit of electric potential?,Volt
686,Which TV show is set in the fictional town of Springfield?,The Simpsons
687,"Who is the author of ""Moby-Dick""?",Herman Melville
688,What is the capital city of South Korea?,Seoul
689,What is the chemical symbol for silver?,"Ag, Silver"
690,What is the term for the residue left behind by brewed coffee?,Coffee grounds
691,"Which American rock band is known for the song ""Smells Like Teen Spirit""?",Nirvana
692,Who is the lead vocalist of the band AC/DC?,Brian Johnson
693,Which bird is known for its long beak used to catch fish?,Pelican
694,"Which Canadian province is known for its stunning Bay of Fundy, home to the highest tides in the world?",New Brunswick
695,"What is the name of the Canadian rapper known for songs like ""Hotline Bling""?",Drake
696,Which sport is played on ice with stones and brooms?,Curling
697,What movie follows the story of a young woman who becomes a prima ballerina?,Black Swan
698,Which vegetable is used to make sauerkraut?,Cabbage
699,What major global trade agreement was signed in 2020?,Regional Comprehensive Economic Partnership (RCEP)
700,What is the process of converting a solid into a liquid called?,Melting
701,"Which actor played the character Batman in ""The Dark Knight"" trilogy?",Christian Bale
702,Who is the lead singer of the band Coldplay?,Chris Martin
703,"Who says, ""You are never too old to set another goal or to dream a new dream""?",C.S. Lewis
704,What is the capital city of Japan?,Tokyo
705,What is the highest mountain peak in the United States?,Mount Denali
706,How many keys are there on a standard piano?,88
707,Which U.S. city is famous for its historic Alamo and River Walk?,San Antonio
708,Who was the first African American President of the United States?,Barack Obama
709,What is the largest species of turtle?,Leatherback Sea Turtle
710,Which bird is famous for its colorful plumage and elaborate courtship display?,Peacock
711,Who is credited with the discovery of electricity?,Benjamin Franklin
712,What is the basic unit of information in computing?,Bit
713,What is the fastest land animal?,Cheetah
714,"What is the name of the British singer-songwriter who released the album ""X""?",Ed Sheeran
715,What is the process by which a solid changes directly into a gas?,Sublimation
716,How many sides does an octagon have?,8
717,"Who says, ""You can't blame gravity for falling in love""?",Albert Einstein
718,Which animal is often associated with wisdom in many cultures?,Owl
719,What is the largest ocean in the world?,Pacific Ocean
720,What is the title of the debut single by Lady Gaga released in 2008?,"""Just Dance"""
721,Which river flows through the Grand Canyon?,Colorado River
722,Who is the lead guitarist of the band Guns N' Roses?,Slash
723,What is the primary species of coffee that is commercially cultivated?,Coffea arabica
724,"What is the popular Mexican dish made from tortilla chips topped with melted cheese, salsa, and other ingredients?",Nachos
725,In what movie does a young girl befriend a friendly extraterrestrial and help him return home?,Lilo & Stitch
726,What is the name of the main character in the Metal Gear Solid series?,Solid Snake
727,"What is the classic American dessert made with layers of graham crackers, chocolate, and marshmallow?",S'mores
728,Calculate: 3 x 3 ÷ 3 + 3 - 3,6
729,Which game features a block-building and exploration gameplay?,Minecraft
730,"Which actress starred in the film ""La La Land""?",Emma Stone
731,"What is the name of the British singer who released the album ""Back to Black""?",Amy Winehouse
732,Which Canadian city hosted the 2010 Winter Olympics?,Vancouver
733,What is the smallest species of deer?,Pudu
734,Who is the Greek goddess of love and beauty?,Aphrodite
735,What is the national dish of Italy?,Pizza
736,In what movie does a young girl befriend a flying robot and embark on an adventure?,The Iron Giant
737,What is the national animal of India?,Bengal Tiger
738,What is the largest species of bear?,Kodiak Bear
739,"Who is the creator of the TV series ""Friends""?",David Crane
740,"Who said, ""Life is like riding a bicycle. To keep your balance, you must keep moving""?",Albert Einstein
741,"Who said, ""The only thing necessary for the triumph of evil is for good men to do nothing.""",Edmund Burke
742,Which animal has the longest neck?,Giraffe
743,What is the method of brewing coffee that involves pouring water over ground coffee in a filter?,Pour-over Coffee
744,In what TV show does a high school teacher become a counselor for a group of troubled students?,13 Reasons Why
745,"Which U.S. state is known as the ""Last Frontier""?",Alaska
746,"What is the Italian cured meat made from pork, seasoned with salt and various spices, and aged for months?",Prosciutto
747,In which game can players control a character named Marcus Fenix?,Gears of War
748,Which country has won the most FIFA World Cups in men's soccer?,Brazil
749,Which movie is about a man who can manipulate and control dreams?,Inception
750,Who holds the record for the most home runs in baseball?,Barry Bonds
751,"Which singer is known as the ""King of Pop""?",Michael Jackson
752,Which game series is known for its open-world crime action gameplay?,Grand Theft Auto
753,Which country hosted the 2021 G7 Summit?,United Kingdom
754,What is the title of the debut studio album by Lady Gaga released in 2008?,"""The Fame"""
755,Which country is the largest producer of oil in the world?,Saudi Arabia
756,In which book does the character Atticus Finch appear?,To Kill a Mockingbird
757,Which bird is famous for its courtship dance?,Bird of Paradise
758,In what movie does a young girl befriend a group of monsters in a fantasy world?,"Monsters, Inc."
759,What is the capital city of Australia?,Canberra
760,Who is known for developing the theory of quantum mechanics?,Max Planck
761,What is the smallest species of frog?,Paedophryne amauensis
762,What is the world's largest land carnivore?,Polar Bear
763,In which game do players control a character named Master Chief?,Halo
764,"Who said, ""It does not matter how slowly you go as long as you do not stop.""",Confucius
765,What is the speed of light in a vacuum?,"Approximately 299,792,458 meters per second"
766,What is the national anthem of the United States?,"""The Star-Spangled Banner"""
767,"Who is the iconic superhero known for the line, ""It's clobberin' time!""?",The Thing (Fantastic Four)
768,Who is the Egyptian god of the sun?,"The Egyptian God, Ra"
769,Which animal is known for its ability to echolocate?,Bat
770,What is the title of the debut single by Billie Eilish released in 2015?,"""Ocean Eyes"""
771,"What is the Italian pasta dish with a tomato-based sauce, typically including ground meat?",Bolognese
772,What is the process of converting a gas directly into a solid called?,Deposition
773,Who is credited with inventing the telephone?,Alexander Graham Bell
774,Which mountain range stretches along the west coast of the United States?,Rocky Mountains
775,Which game series is set in the fantasy world of Azeroth?,World of Warcraft
776,"Which main actor(s) starred in the film ""La La Land""?","Ryan Gosling, Emma Stone"
777,What is the fluid-filled sac that cushions and lubricates joints?,Synovial fluid
778,What is the title of Beyoncé's visual album released in 2016?,"""Lemonade"""
779,What is the primary function of a microscope?,Magnify small objects
780,"What is the title of the first book in J.R.R. Tolkien's ""The Lord of the Rings"" trilogy?",The Fellowship of the Ring
781,What is the deep-fried dough typically coated with sugar or cinnamon?,Donut
782,"What is the popular Middle Eastern dessert made from filo pastry, nuts, and sweet syrup?",Baklava
783,What is the phenomenon that causes the bending of light waves?,Refraction
784,Which game series is set in the fictional city of Rapture?,BioShock
785,Which sport is associated with the Stanley Cup?,Ice hockey
786,Which TV show features the character Eleven?,Stranger Things
787,What is the national bird of New Zealand?,Kiwi
788,Which fruit is used to make lemon meringue pie?,Lemon
789,What is the tallest bird in the world?,Ostrich
790,"Who said, ""I'll be back""?",Arnold Schwarzenegger
791,What is the largest species of pinniped?,Elephant Seal
792,Who is credited with the discovery of the structure of DNA?,James Watson and Francis Crick
793,Who won the 2021 Formula 1 World Championship?,Max Verstappen
794,Which sport is played on a diamond-shaped field?,Baseball
795,What is the objective of the game Portal?,Solve puzzles using a portal gun
796,What major social media platform faced scrutiny over its handling of user data in 2021?,Facebook
797,Which game franchise features a character named Nathan Drake?,Uncharted
798,What is the smallest species of dolphin?,Maui's Dolphin
799,What is the study of the Earth's rocks and minerals called?,Petrology
800,"Which animal is known for its long, sticky tongue used to catch insects?",Anteater
801,How many players are there in a volleyball team?,6
802,"Who is the creator of the ""Game of Thrones"" book series?",George R.R. Martin
803,"Who says, ""Do what you can, with what you have, where you are""?",Theodore Roosevelt
804,"Who says, ""The purpose of our lives is to be happy""?",Dalai Lama
805,What is the national animal of Australia?,Kangaroo
806,What is the highest waterfall in the United States?,Yosemite Falls
807,Who is known for proposing the laws of planetary motion?,Isaac Newton
808,"Who said, ""Believe you can and you're halfway there.""",Theodore Roosevelt
809,What is the type of pasta that is shaped like small ear-shaped shells?,Orecchiette
810,Who is the Greek goddess of wisdom?,Athena
811,What is the title of the debut studio album by Elvis Presley released in 1956?,"""Elvis Presley"""
812,"In which sport can you score a ""try""?",Rugby
813,"Who is known for the phrase, ""It's showtime!""?",Beetlejuice
814,What is the scientific term for the thigh bone?,Femur
815,"Who is known as the ""King of Rock and Roll""?",Elvis Presley
816,Who is the current Prime Minister of India?,Narendra Modi
817,What is the traditional Japanese noodle soup dish with wheat noodles and a soy-based broth?,Ramen
818,Which city hosted the 2021 UEFA Champions League Final?,"Porto, Portugal"
819,What is the traditional English tea-time treat made from two layers of sponge cake with jam and buttercream in the middle?,Victoria sponge
820,"Which animated film features the song ""Let It Go""?",Frozen
821,Who was the third President of the United States and the principal author of the United States Constitution?,James Madison
822,What is the largest species of shark?,Whale Shark
823,"What is the classic American dessert made from apples, sugar, and pastry crust?",Apple Pie
824,"Which American pop star released the album ""Bad Romance"" in 2009?",Lady Gaga
825,Which country is known for the Great Wall?,China
826,What is the French dessert made from caramelized sugar on top of custard?,Crème brûlée
827,Which TV show revolves around a genius eccentric physicist and his socially awkward friends?,The Big Bang Theory
828,What movie is about a young girl who enters a magical world through a secret passage?,Coraline
829,"Which U.S. state is known as the ""Granite State""?",New Hampshire
830,"Who directed the film ""Black Panther""?",Ryan Coogler
831,Which animal is known for its ability to climb trees headfirst and is insanely lazy?,Sloth
832,"Which artist released the hit song ""Someone Like You""?",Adele
833,What is the type of sausage often associated with Germany?,Bratwurst
834,What is the name of the main character in the game BioShock?,Jack/Rapture
835,What is the study of heredity called?,Genetics
836,What is the tallest building in the world?,Burj Khalifa
837,"What is the popular Thai spicy salad made with shredded unripe papaya, tomatoes, chili peppers, and lime juice?",Som Tum
838,How many planets are there in our solar system?,8
839,"Who is the protagonist of the ""Lord of the Rings"" trilogy?",Frodo Baggins
840,What does 'RTS' mean in the context of video games?,Real Time Strategy
841,"Which U.S. state is known as the ""Empire State""?",New York
842,What is the term for a coffee made with equal parts espresso and steamed milk?,Cappuccino
843,"Who painted the ""Last Supper""?",Leonardo da Vinci
844,What is 50% of 100?,50
845,In what movie does a man travel back in time to prevent a future disaster?,The Terminator
846,What is the main ingredient in hummus?,Chickpeas
847,How many bones are there in a human hand?,27
848,In which sport is the Triple Crown a prestigious achievement?,Horse racing
849,"Which American singer is known for the hit single ""Billie Jean""?",Michael Jackson
850,What is the largest species of eagle?,Harpy Eagle
851,What is the branch of science that studies the behavior and properties of matter?,Physics
852,What is the fastest flying bird in level flight?,Common Swift
853,In which city were the Summer Olympics held in 2008?,Beijing
854,What is the best-selling album of all time?,"""Thriller"" by Michael Jackson"
855,What is the square root of 16?,4
856,What is the official motto of the United States?,"""In God We Trust"""
857,What is the largest species of land snail?,Giant African Snail
858,What is the highest score achievable in a single frame in bowling?,300
859,"Who is the creator of the TV series ""Grey's Anatomy""?",Shonda Rhimes
860,What is the technique of steaming milk to create a creamy texture for coffee beverages?,Milk frothing
861,What is the title of the debut single by Rihanna released in 2005?,"""Pon de Replay"""
862,Which country hosted the 2021 Summer Olympics?,Japan
863,"What is the popular Mexican beverage made from lime juice, sweetener, and water?",Agua Fresca
864,What is the title of the debut single by Post Malone released in 2015?,"""White Iverson"""
865,Which movie is about a group of astronauts who embark on a mission to save Earth?,Interstellar
866,Which country launched the world's first 6G satellite in 2021?,China
867,"Who is known as the ""Father of Modern Physics""?",Albert Einstein
868,Which TV show follows the lives of the Gallagher family?,Shameless
869,"Who is the author of ""The Chronicles of Narnia""?",C.S. Lewis
870,What is the largest planet in our solar system?,Jupiter
871,What movie is about a boxer who fights his way to the top and becomes a champion?,Rocky
872,What is the SI unit of force?,Newton
873,"Who said, ""Life is what happens when you're busy making other plans.""",John Lennon
874,Calculate: 2 x 2 x 2 x 2 x 2,32
875,"Which band released the album ""Rumours""?",Fleetwood Mac
876,Which film won the Best Picture award at the 2021 Oscars?,Nomadland
877,"Who directed the film ""Inception""?",Christopher Nolan
878,What movie follows the story of a man who ages in reverse and experiences life in a unique way?,The Curious Case of Benjamin Button
879,What is the smallest unit of matter?,Atom
880,Who won the UEFA Champions League in 2021?,Chelsea
881,Who is credited with the discovery of radioactivity?,Marie Curie
882,Which book features the character Holden Caulfield?,The Catcher in the Rye
883,What is the tallest land animal?,Giraffe
884,Who is the lead guitarist of the band Rolling Stones?,Keith Richards
885,"Which singer released the hit song ""Hello"" in 2015?",Adele
886,What is the title of the debut studio album by Lana Del Rey released in 2012?,"""Born to Die"""
887,What is the traditional Japanese fermented soybean product used in cooking and as a condiment?,Natto
888,Which TV show features the character Jon Snow?,Game of Thrones
889,Which film franchise features the character Tony Stark/Iron Man?,Marvel Cinematic Universe
890,"Which American singer-songwriter is known for the hit single ""Happy""?",Pharrell Williams
891,Who is the lead vocalist of the band Pearl Jam?,Eddie Vedder
892,Who invented the first practical camera?,Louis Daguerre
893,"Which city is known as the ""Big Apple""?",New York City
894,"In which sport is the term ""alley-oop"" commonly used?",Basketball
895,What is the title of the debut studio album by Madonna released in 1983?,"""Madonna"""
896,"In which sport would you use a foil, epee, or sabre?",Fencing
897,What is the popular Italian appetizer made with sliced bread topped with various ingredients?,Bruschetta
898,Calculate 10 - 5 x 2,0
899,What is the official currency of Canada?,Canadian dollar
900,Who painted the ceiling of the Sistine Chapel?,Michelangelo
901,What is the branch of science that deals with the study of the behavior and mental processes of organisms?,Psychology
902,"What is the traditional Thai soup with spicy, sour flavors, usually made with shrimp, lemongrass, and lime juice?",Tom yum
903,What is the organ responsible for producing insulin?,Pancreas
904,Which movie features a young lion prince who must reclaim his throne from his uncle?,The Lion King
905,Which TV show features a forensic anthropologist who solves crimes using her expertise in bones?,Bones
906,Which U.S. city is famous for its Golden Gate Bridge?,San Francisco
907,Who holds the record for the most goals scored in soccer history?,Pelé
908,Which animal is known for its ability to change color to blend with its surroundings?,Cuttlefish
909,Which Canadian province is known for its vast oil sands reserves?,Alberta
910,What major international agreement aims to limit global warming?,Paris Agreement
911,Which U.S. city is famous for its iconic Space Needle?,Seattle
912,What is the title of the debut studio album by Kanye West released in 2004?,"""The College Dropout"""
913,Which creature is known for its ability to regrow its limbs?,Axolotl
